team_x,team_y,ID
1104,1112,2018_1104_1112
1104,1113,2018_1104_1113
1104,1116,2018_1104_1116
1104,1120,2018_1104_1120
1104,1137,2018_1104_1137
1104,1138,2018_1104_1138
1104,1139,2018_1104_1139
1104,1153,2018_1104_1153
1104,1155,2018_1104_1155
1104,1158,2018_1104_1158
1104,1166,2018_1104_1166
1104,1168,2018_1104_1168
1104,1172,2018_1104_1172
1104,1181,2018_1104_1181
1104,1196,2018_1104_1196
1104,1199,2018_1104_1199
1104,1209,2018_1104_1209
1104,1211,2018_1104_1211
1104,1222,2018_1104_1222
1104,1233,2018_1104_1233
1104,1242,2018_1104_1242
1104,1243,2018_1104_1243
1104,1246,2018_1104_1246
1104,1252,2018_1104_1252
1104,1254,2018_1104_1254
1104,1260,2018_1104_1260
1104,1267,2018_1104_1267
1104,1274,2018_1104_1274
1104,1276,2018_1104_1276
1104,1277,2018_1104_1277
1104,1281,2018_1104_1281
1104,1285,2018_1104_1285
1104,1293,2018_1104_1293
1104,1300,2018_1104_1300
1104,1301,2018_1104_1301
1104,1305,2018_1104_1305
1104,1308,2018_1104_1308
1104,1314,2018_1104_1314
1104,1326,2018_1104_1326
1104,1328,2018_1104_1328
1104,1335,2018_1104_1335
1104,1344,2018_1104_1344
1104,1345,2018_1104_1345
1104,1347,2018_1104_1347
1104,1348,2018_1104_1348
1104,1355,2018_1104_1355
1104,1361,2018_1104_1361
1104,1371,2018_1104_1371
1104,1372,2018_1104_1372
1104,1382,2018_1104_1382
1104,1393,2018_1104_1393
1104,1395,2018_1104_1395
1104,1397,2018_1104_1397
1104,1400,2018_1104_1400
1104,1401,2018_1104_1401
1104,1403,2018_1104_1403
1104,1411,2018_1104_1411
1104,1417,2018_1104_1417
1104,1420,2018_1104_1420
1104,1422,2018_1104_1422
1104,1437,2018_1104_1437
1104,1438,2018_1104_1438
1104,1439,2018_1104_1439
1104,1452,2018_1104_1452
1104,1455,2018_1104_1455
1104,1460,2018_1104_1460
1104,1462,2018_1104_1462
1112,1113,2018_1112_1113
1112,1116,2018_1112_1116
1112,1120,2018_1112_1120
1112,1137,2018_1112_1137
1112,1138,2018_1112_1138
1112,1139,2018_1112_1139
1112,1153,2018_1112_1153
1112,1155,2018_1112_1155
1112,1158,2018_1112_1158
1112,1166,2018_1112_1166
1112,1168,2018_1112_1168
1112,1172,2018_1112_1172
1112,1181,2018_1112_1181
1112,1196,2018_1112_1196
1112,1199,2018_1112_1199
1112,1209,2018_1112_1209
1112,1211,2018_1112_1211
1112,1222,2018_1112_1222
1112,1233,2018_1112_1233
1112,1242,2018_1112_1242
1112,1243,2018_1112_1243
1112,1246,2018_1112_1246
1112,1252,2018_1112_1252
1112,1254,2018_1112_1254
1112,1260,2018_1112_1260
1112,1267,2018_1112_1267
1112,1274,2018_1112_1274
1112,1276,2018_1112_1276
1112,1277,2018_1112_1277
1112,1281,2018_1112_1281
1112,1285,2018_1112_1285
1112,1293,2018_1112_1293
1112,1300,2018_1112_1300
1112,1301,2018_1112_1301
1112,1305,2018_1112_1305
1112,1308,2018_1112_1308
1112,1314,2018_1112_1314
1112,1326,2018_1112_1326
1112,1328,2018_1112_1328
1112,1335,2018_1112_1335
1112,1344,2018_1112_1344
1112,1345,2018_1112_1345
1112,1347,2018_1112_1347
1112,1348,2018_1112_1348
1112,1355,2018_1112_1355
1112,1361,2018_1112_1361
1112,1371,2018_1112_1371
1112,1372,2018_1112_1372
1112,1382,2018_1112_1382
1112,1393,2018_1112_1393
1112,1395,2018_1112_1395
1112,1397,2018_1112_1397
1112,1400,2018_1112_1400
1112,1401,2018_1112_1401
1112,1403,2018_1112_1403
1112,1411,2018_1112_1411
1112,1417,2018_1112_1417
1112,1420,2018_1112_1420
1112,1422,2018_1112_1422
1112,1437,2018_1112_1437
1112,1438,2018_1112_1438
1112,1439,2018_1112_1439
1112,1452,2018_1112_1452
1112,1455,2018_1112_1455
1112,1460,2018_1112_1460
1112,1462,2018_1112_1462
1113,1116,2018_1113_1116
1113,1120,2018_1113_1120
1113,1137,2018_1113_1137
1113,1138,2018_1113_1138
1113,1139,2018_1113_1139
1113,1153,2018_1113_1153
1113,1155,2018_1113_1155
1113,1158,2018_1113_1158
1113,1166,2018_1113_1166
1113,1168,2018_1113_1168
1113,1172,2018_1113_1172
1113,1181,2018_1113_1181
1113,1196,2018_1113_1196
1113,1199,2018_1113_1199
1113,1209,2018_1113_1209
1113,1211,2018_1113_1211
1113,1222,2018_1113_1222
1113,1233,2018_1113_1233
1113,1242,2018_1113_1242
1113,1243,2018_1113_1243
1113,1246,2018_1113_1246
1113,1252,2018_1113_1252
1113,1254,2018_1113_1254
1113,1260,2018_1113_1260
1113,1267,2018_1113_1267
1113,1274,2018_1113_1274
1113,1276,2018_1113_1276
1113,1277,2018_1113_1277
1113,1281,2018_1113_1281
1113,1285,2018_1113_1285
1113,1293,2018_1113_1293
1113,1300,2018_1113_1300
1113,1301,2018_1113_1301
1113,1305,2018_1113_1305
1113,1308,2018_1113_1308
1113,1314,2018_1113_1314
1113,1326,2018_1113_1326
1113,1328,2018_1113_1328
1113,1335,2018_1113_1335
1113,1344,2018_1113_1344
1113,1345,2018_1113_1345
1113,1347,2018_1113_1347
1113,1348,2018_1113_1348
1113,1355,2018_1113_1355
1113,1361,2018_1113_1361
1113,1371,2018_1113_1371
1113,1372,2018_1113_1372
1113,1382,2018_1113_1382
1113,1393,2018_1113_1393
1113,1395,2018_1113_1395
1113,1397,2018_1113_1397
1113,1400,2018_1113_1400
1113,1401,2018_1113_1401
1113,1403,2018_1113_1403
1113,1411,2018_1113_1411
1113,1417,2018_1113_1417
1113,1420,2018_1113_1420
1113,1422,2018_1113_1422
1113,1437,2018_1113_1437
1113,1438,2018_1113_1438
1113,1439,2018_1113_1439
1113,1452,2018_1113_1452
1113,1455,2018_1113_1455
1113,1460,2018_1113_1460
1113,1462,2018_1113_1462
1116,1120,2018_1116_1120
1116,1137,2018_1116_1137
1116,1138,2018_1116_1138
